StressSampleID,StationID,StressSampleDate,StdParamName,ResultValue
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Solids_PCT,80.3
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Lead_mg_kg,1.17
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Arsenic_mg_kg,0.21
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Copper_mg_kg,0.445
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Zinc_mg_kg,10.9
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,TOC_PCT,0.1
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Carbazole_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Fluoranthene_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Dibenzo_a_h_anthracene_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Pyrene_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Naphthalene_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Benz_a_anthracene_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Methylnaphthalene_1_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Benzo_a_pyrene_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Chrysene_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Benzo_k_fluoranthene_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Benzo_ghi_perylene_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Phenanthrene_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Methylnaphthalene_2_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,PCN_002_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Retene_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Fluorene_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Anthracene_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Acenaphthylene_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Benzo_b_fluoranthene_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Indeno_1_2_3_cd_pyrene_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Acenaphthene_ug_kg,15
BIO06600_BURP15_DCE_2011_0707_09_30,BIO06600_BURP15,7/7/2011,Dibenzofuran_ug_kg,15
BIO06600_BURP15_DCE_2019_0719_08_50,BIO06600_BURP15,7/19/2019,Aluminum_mg_kg,5080
BIO06600_BURP15_DCE_2019_0719_08_50,BIO06600_BURP15,7/19/2019,Iron_mg_kg,3470
BIO06600_BURP15_DCE_2019_0719_08_50,BIO06600_BURP15,7/19/2019,Potassium_mg_kg,862
