StdParamName,SourceGroup,LogTransf,UseInStressorID,DirIncStress,SSIndex,SSTVname.bmi,SensMax.bmi,SensMin.bmi,SSTVname.alg,SensMax.alg,SensMin.alg,SSTVname.fish,SensMax.fish,SensMin.fish,Label
Chloride_mg_l,Water Chemistry,1,0,Inc,,,,,,,,,,,Chloride (mg/l)
Conductivity_uS_cm,Water Chemistry,1,1,Inc,,SpecCondTolVal,2,1,SpecCondTolVal,2,1,SpecCondTolVal,2,1,Conductivity (uS/cm)
DgmLog10,Habitat Metrics,0,1,Inc,,,,,,,,,,,substrate size (=log10[geometric mean substrate size])
DO_mg_l,Water Chemistry,0,1,Dec,,,,,,,,,,,Dissolved Oxygen (mg/l)
DO_Saturation_PCT,Water Chemistry,0,0,Inc,,,,,,,,,,,Dissolved Oxygen Saturation (PCT)
Fines_PCT,Habitat Metrics,0,1,Inc,FSBI,,,,,,,,,,Fines (PCT)
LRBS,Habitat Metrics,0,1,Inc,,,,,,,,,,,(=log10[relative bed stability])
LWDSiteVolume_m3,Habitat Metrics,1,1,Dec,,,,,,,,,,,Volume of large woody debris per site (m3)
pH_acidicEnv,Water Chemistry,0,1,Inc,,,,,,,,,,,pH (acidic environments)
pH_alkEnv,Water Chemistry,0,1,Dec,,,,,,,,,,,pH (alkaline environments)
Phosphorus_mg_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Phosphorus (mg/kg)
PPN_Canopy,Habitat Metrics,0,1,Inc,,,,,,,,,,,Canopy Cover
PWP_All,Habitat Metrics,0,1,Inc,,,,,,,,,,,Human-influence (proximity weighted presence of all human influence types)
RBS,Habitat Metrics,0,0,Inc,,,,,,,,,,,Relative bed stability
SandFines_PCT,Habitat Metrics,0,1,Inc,FSBI,,,,,,,,,,Sand + fines (PCT)
Solids_PCT,Freshwater Sediment,0,1,Inc,,,,,,,,,,,Solids (PCT)
TN_Persulfate_mg_l,Water Chemistry,1,1,Inc,,,,,,,,,,,Total Nitrogen as Persulfate (mg/l)
TOC_mg_kg,Freshwater Sediment,0,1,Inc,,,,,,,,,,,Total Organic Carbon (mg/kg)
TOC_PCT,Freshwater Sediment,0,1,Inc,,,,,,,,,,,Total Organic Carbon (PCT)
Total_Solids_PCT,Freshwater Sediment,0,1,Inc,,,,,,,,,,,Total Solids (PCT)
Arsenic_mg_kg,Freshwater Sediment,1,0,Inc,MTI,,,,,,,,,,Arsenic (mg/kg)
Copper_mg_kg,Freshwater Sediment,1,0,Inc,MTI,,,,,,,,,,Copper (mg/kg)
Lead_mg_kg,Freshwater Sediment,1,0,Inc,MTI,,,,,,,,,,Lead (mg/kg)
Zinc_mg_kg,Freshwater Sediment,1,0,Inc,MTI,,,,,,,,,,Zinc (mg/kg)
TP_mg_l,Water Chemistry,1,1,Inc,,,,,,,,,,,Total Phosphorus (mg/l)
Retene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Retene (ug/kg)
PCN_002_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PCN-002 (ug/kg)
Fluorene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Fluorene (ug/kg)
Methylnaphthalene_1_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,1-Methylnaphthalene (ug/kg)
Methylnaphthalene_2_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,2-Methylnaphthalene (ug/kg)
Acenaphthene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Acenaphthene (ug/kg)
Acenaphthylene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Acenaphthylene (ug/kg)
Anthracene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Anthracene (ug/kg)
Benz_a_anthracene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Benz[a]anthracene (ug/kg)
Benzo_a_pyrene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Benzo(a)pyrene (ug/kg)
Benzo_b_fluoranthene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Benzo(b)fluoranthene (ug/kg)
Benzo_ghi_perylene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Benzo(ghi)perylene (ug/kg)
Benzo_k_fluoranthene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Benzo(k)fluoranthene (ug/kg)
Carbazole_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Carbazole (ug/kg)
Chrysene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Chrysene (ug/kg)
Dibenzo_a_h_anthracene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,"Dibenzo(a,h)anthracene (ug/kg)"
Dibenzofuran_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Dibenzofuran (ug/kg)
Fluoranthene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Fluoranthene (ug/kg)
Indeno_1_2_3_cd_pyrene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,"Indeno(1,2,3-cd)pyrene (ug/kg)"
Naphthalene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Naphthalene (ug/kg)
Phenanthrene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Phenanthrene (ug/kg)
Pyrene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Pyrene (ug/kg)
Cadmium_mg_kg,Freshwater Sediment,1,0,Inc,MTI,,,,,,,,,,Cadmium (mg/kg)
Chromium_mg_kg,Freshwater Sediment,1,0,Inc,MTI,,,,,,,,,,Chromium (mg/kg)
PBDE_047_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-047 (ug/kg)
PBDE_049_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-049 (ug/kg)
PBDE_066_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-066 (ug/kg)
PBDE_071_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-071 (ug/kg)
PBDE_099_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-099 (ug/kg)
PBDE_100_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-100 (ug/kg)
PBDE_138_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-138 (ug/kg)
PBDE_153_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-153 (ug/kg)
PBDE_154_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-154 (ug/kg)
PBDE_183_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-183 (ug/kg)
PBDE_184_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-184 (ug/kg)
PBDE_191_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-191 (ug/kg)
PBDE_209_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,PBDE-209 (ug/kg)
Methylphenanthrene_2_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,2-Methylphenanthrene (ug/kg)
Benzo_e_pyrene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Benzo[e]pyrene (ug/kg)
Perylene_ug_kg,Freshwater Sediment,1,0,Inc,,,,,,,,,,,Perylene (ug/kg)
