COMID,Study_ID,StationID,WaterbodyName,CountyName,Latitude,Longitude,EcoL3Code,ECOREG3,HUC12,RefSiteFlag
23997264,WHM_BIO,BIO06600_TUMW02,TUMWATER CREEK,Clallam,48.0906623,-123.4736479,2,Puget Lowland,HUC-171100200405,1
24270466,WHM_ERR0,ERR06600_003660,SKAGIT RIVER AT RM 43.6,Skagit,48.515896,-121.920726,77,North Cascades,HUC-171100070105,0
23027840,WHM_ERR0,ERR06600_005995,SKYKOMISH RIVER  AT RM 41.53,Snohomish,47.842639,-121.695824,2,Puget Lowland,HUC-171100090603,0
23997264,SAM_PSS,PSS05515_001556,TUMWATER CREEK,Clallam,48.090743,-123.4726469,2,Puget Lowland,HUC-171100200405,0
23997264,SAM_PLES,RSM06600_001556,TUMWATER CREEK,Clallam,48.090743,-123.4726469,2,Puget Lowland,HUC-171100200405,0
23977614,SAM_PLES,RSM06600_011399,LONGFELLOW CREEK,King,47.55413,-122.366763,2,Puget Lowland,HUC-171100190204,0
24248518,WHM_WAM0,WAM06600_000041,TOUTLE RIVER,Cowlitz,46.335782,-122.889108,2,Puget Lowland,HUC-170800050702,0
23838482,WHM_WAM0,WAM06600_000159,BOGACHIEL RIVER,Clallam,47.903133,-124.395891,1,Coast Range,HUC-171001010503,0
24241631,WHM_WAM0,WAM06600_000209,LEWIS RIVER,Cowlitz,45.860477,-122.767439,3,Willamette Valley,HUC-170800020606,0
24248512,WHM_WAM0,WAM06600_000601,COWLITZ RIVER TRIBUTARY,Cowlitz,46.312569,-122.92745,2,Puget Lowland,HUC-170800050904,1
24248512,WHM_WAM0,WAM06600_000601,COWLITZ RIVER TRIBUTARY,Cowlitz,46.312569,-122.92745,2,Puget Lowland,HUC-170800050904,0
24274385,WHM_WAM0,WAM06600_000676,STILLAGUAMISH RIVER AT RM 12.65,Snohomish,48.194321,-122.184635,2,Puget Lowland,HUC-171100080303,0
23970207,WHM_WAM0,WAM06600_001047,SNOQUALMIE RIVER,King,47.59189,-121.922613,2,Puget Lowland,HUC-171100100404,0
23744016,WHM_WAM0,WAM06600_001261,COWLITZ RIVER,Lewis,46.524653,-121.899782,4,Cascades,HUC-170800040504,0
23449277,WHM_WAM0,WAM06600_001282,SNAKE RIVER AT RM 63.3,Columbia,46.555595,-118.156838,10,Columbia Plateau,HUC-170601070808,0
24125421,WHM_WAM0,WAM06600_001434,YAKIMA RIVER AT RM 154.3,Kittitas,46.991667,-120.577883,10,Columbia Plateau,HUC-170300010511,0
23997264,WHM_WAM0,WAM06600_001556,TUMWATER CREEK,Clallam,48.090744,-123.472647,2,Puget Lowland,HUC-171100200405,1
24241781,WHM_WAM0,WAM06600_001633,LEWIS RIVER,Clark,45.936054,-122.687963,3,Willamette Valley,HUC-170800020606,0
23963013,WHM_WAM0,WAM06600_001899,SKYKOMISH RIVER AT RM 41.57,Snohomish,47.842257,-121.693362,2,Puget Lowland,HUC-171100090603,1
23475178,WHM_WAM0,WAM06600_002933,SNAKE RIVER BLW ICE HARBOR DAM,Franklin,46.245221,-118.918005,10,Columbia Plateau,HUC-170601100404,0
24228249,WHM_WAM0,WAM06600_003285,SNAKE RIVER AT RM 166.2,NA,46.104018,-116.954859,11,Blue Mountains,HUC-170601030303,0
23838644,WHM_WAM0,WAM06600_003332,SOL DUC RIVER,Clallam,48.034475,-124.38268,1,Coast Range,HUC-171001010606,0
23065009,WHM_WAM0,WAM06600_003580,OKANOGAN RIVER AT RM 56.4,Okanogan,48.701199,-119.450756,10,Columbia Plateau,HUC-170200061808,0
22994841,WHM_WAM0,WAM06600_004076,PEND OREILLE RIVER AT RM 49.5,Pend Oreille,48.813405,-117.353592,15,Northern Rockies,HUC-170102160305,0
23856621,WHM_WAM0,WAM06600_004314,CHEHALIS RIVER,Grays Harbor,46.964393,-123.537569,1,Coast Range,HUC-171001040406,0
24228207,WHM_WAM0,WAM06600_004745,SNAKE RIVER AT RM 155.6,NA,46.230335,-116.955486,10,Columbia Plateau,HUC-170601030305,0
24228203,WHM_WAM0,WAM06600_004889,SNAKE RIVER AT RM 153.2,NA,46.263423,-116.972601,10,Columbia Plateau,HUC-170601030305,0
23080514,WHM_WAM0,WAM06600_005091,WENATCHEE RIVER AT RM 3.8,Chelan,47.475422,-120.378243,10,Columbia Plateau,HUC-170200110708,0
23065177,WHM_WAM0,WAM06600_005424,OKANOGAN RIVER AT RM 70.9,Okanogan,48.862427,-119.417747,10,Columbia Plateau,HUC-170200061606,0
22994795,WHM_WAM0,WAM06600_005500,PEND OREILLE RIVER AT RM 46.6,Pend Oreille,48.630188,-117.363979,15,Northern Rockies,HUC-170102160307,0
22994727,WHM_WAM0,WAM06600_006320,PEND OREILLE RIVER AT RM 27.1,Pend Oreille,48.864643,-117.375147,15,Northern Rockies,HUC-170102160902,0
24270396,WHM_WAM0,WAM06600_006732,SKAGIT RIVER AT RM 31.7,Skagit,48.51472,-122.112983,2,Puget Lowland,HUC-171100070107,0
23080570,WHM_WAM0,WAM06600_007047,WENATCHEE RIVER AT RM 18.6,Chelan,47.565316,-120.581398,77,North Cascades,HUC-170200110706,1
24382823,WHM_WAM0,WAM06600_007076,METHOW RIVER AT RM 24.3,Okanogan,48.20692,-120.119664,10,Columbia Plateau,HUC-170200080702,0
23099876,WHM_WAM0,WAM06600_007442,YAKIMA RIVER AT RM 115.3,Yakima,46.624155,-120.496052,10,Columbia Plateau,HUC-170300030206,0
24274563,WHM_WAM0,WAM06600_007700,CANYON CREEK,Snohomish,48.121819,-121.932635,2,Puget Lowland,HUC-171100080205,0
23021904,WHM_WAM0,WAM06600_007947,SPOKANE RIVER AT RM 69.6,Spokane,47.681298,-117.457818,15,Northern Rockies,HUC-170103070105,0
24264787,WHM_WAM0,WAM06600_008088,SAUK RIVER,Skagit,48.355342,-121.553091,77,North Cascades,HUC-171100060405,0
24248846,WHM_WAM0,WAM06600_008697,COWLITZ RIVER,Lewis,46.4121,-122.9,2,Puget Lowland,HUC-170800050306,0
23080644,WHM_WAM0,WAM06600_008727,WENATCHEE RIVER BELOW ICICLE CREEK,Chelan,47.585216,-120.667032,77,North Cascades,HUC-170200110706,0
947060082,WHM_WAM0,WAM06600_008809,SNAKE RIVER AT RM 148.5,NA,46.312541,-117.018023,10,Columbia Plateau,HUC-170601030307,0
23099608,WHM_WAM0,WAM06600_009077,YAKIMA RIVER AT RM 42,Benton,46.23799,-119.66653,10,Columbia Plateau,HUC-170300031202,0
23099460,WHM_WAM0,WAM06600_009321,YAKIMA RIVER AT RM 15.5,Benton,46.34801,-119.39187,10,Columbia Plateau,HUC-170300031205,0
24125441,WHM_WAM0,WAM06600_009322,YAKIMA RIVER AT RM 158.7,Kittitas,47.02998,-120.62412,10,Columbia Plateau,HUC-170300010507,0
23441993,WHM_WAM0,WAM06600_009349,GRANDE RONDE RIVER AT RM 8.2,Asotin,46.044379,-117.030151,11,Blue Mountains,HUC-170601060711,0
23080548,WHM_WAM0,WAM06600_009843,WAM06600-009843,Chelan,47.50357053,-120.4403717,10,Columbia Plateau,HUC-170200110708,0
